date,close,congestion
20240102,2962.28,0.3437
20240103,2967.25,0.3419
20240104,2954.35,0.3618
20240105,2929.18,0.3387
20240108,2887.54,0.343
20240109,2893.25,0.3527
20240110,2877.7,0.3611
20240111,2886.65,0.3667
20240112,2881.98,0.348
20240115,2886.29,0.3411
20240116,2893.99,0.3506
20240117,2833.62,0.3662
20240118,2845.78,0.3695
20240119,2832.28,0.3937
20240122,2756.34,0.3538
20240123,2770.98,0.3739
20240124,2820.77,0.3711
20240125,2906.11,0.3783
20240126,2910.22,0.3754
20240129,2883.36,0.3844
20240130,2830.53,0.3695
20240131,2788.55,0.3452
20240201,2770.74,0.3594
20240202,2730.15,0.3454
20240205,2702.19,0.3526
20240206,2789.49,0.3434
20240207,2829.7,0.331
20240208,2865.9,0.3087
20240219,2910.54,0.3421
20240220,2922.73,0.3823
20240221,2950.96,0.3751
20240222,2988.36,0.3786
20240223,3004.88,0.3658
20240226,2977.02,0.3412
20240227,3015.48,0.3724
20240228,2957.85,0.3418
20240229,3015.17,0.3694
20240301,3027.02,0.3944
20240304,3039.31,0.4047
20240305,3047.79,0.4257
20240306,3039.93,0.3984
20240307,3027.4,0.3811
20240308,3046.02,0.401
20240311,3068.46,0.4059
20240312,3055.94,0.4025
20240313,3043.83,0.3901
20240314,3038.23,0.3929
20240315,3054.64,0.3948
20240318,3084.93,0.3852
20240319,3062.76,0.3838
20240320,3079.69,0.3761
20240321,3077.11,0.3704
20240322,3048.03,0.3756
20240325,3026.31,0.3762
20240326,3031.48,0.3923
20240327,2993.14,0.3724
20240328,3010.66,0.3872
20240329,3041.17,0.3753
20240401,3077.38,0.3717
20240402,3074.96,0.3611
20240403,3069.3,0.3662
20240408,3047.05,0.3717
20240409,3048.54,0.3683
20240410,3027.33,0.3575
20240411,3034.25,0.374
20240412,3019.47,0.3782
20240415,3057.38,0.3446
20240416,3007.07,0.3486
20240417,3071.38,0.3557
20240418,3074.22,0.3848
20240419,3065.26,0.3896
20240422,3044.6,0.3834
20240423,3021.98,0.3808
20240424,3044.82,0.3786
20240425,3052.9,0.3678
20240426,3088.64,0.3927
20240429,3113.04,0.3772
20240430,3104.82,0.3634
20240506,3140.72,0.3705
20240507,3147.74,0.3608
20240508,3128.48,0.3386
20240509,3154.32,0.3479
20240510,3154.55,0.3487
20240513,3148.02,0.3516
20240514,3145.77,0.3598
20240515,3119.9,0.3701
20240516,3122.4,0.3868
20240517,3154.03,0.3888
20240520,3171.15,0.3797
20240521,3157.97,0.3723
20240522,3158.54,0.3799
20240523,3116.39,0.3598
20240524,3088.87,0.3724
20240527,3124.04,0.3646
20240528,3109.57,0.3748
20240529,3111.02,0.3789
20240530,3091.68,0.3827
20240531,3086.81,0.3609
20240603,3078.49,0.3653
20240604,3091.2,0.3627
20240605,3065.4,0.3687
20240606,3048.79,0.3595
20240607,3051.28,0.4013
20240611,3028.05,0.4138
20240612,3037.47,0.4041
20240613,3028.92,0.4002
20240614,3032.63,0.4334
20240617,3015.89,0.4141
20240618,3030.25,0.4047
20240619,3018.05,0.4018
20240620,3005.44,0.3718
20240621,2998.14,0.4035
20240624,2963.1,0.3779
20240625,2950.0,0.4027
20240626,2972.53,0.3736
20240627,2945.85,0.3903
20240628,2967.4,0.3984
20240701,2994.73,0.391
20240702,2997.01,0.3899
20240703,2982.38,0.3901
20240704,2957.57,0.3736
20240705,2949.93,0.4151
20240708,2922.45,0.4023
20240709,2959.37,0.412
20240710,2939.36,0.423
20240711,2970.39,0.4082
20240712,2971.3,0.4272
20240715,2974.01,0.4187
20240716,2976.3,0.4612
20240717,2962.85,0.4461
20240718,2977.13,0.4347
20240719,2982.31,0.4496
20240722,2964.22,0.4404
20240723,2915.37,0.4169
20240724,2901.95,0.412
20240725,2886.74,0.4336
20240726,2890.9,0.4266
20240729,2891.85,0.4155
20240730,2879.3,0.4155
20240731,2938.75,0.3982
20240801,2932.39,0.3919
20240802,2905.34,0.4065
20240805,2860.7,0.4057
20240806,2867.28,0.4071
20240807,2869.83,0.4018
20240808,2869.9,0.3887
20240809,2862.19,0.3976
20240812,2858.2,0.3695
20240813,2867.95,0.3929
20240814,2850.65,0.3876
20240815,2877.36,0.3784
20240816,2879.43,0.3829
20240819,2893.67,0.3934
20240820,2866.66,0.3849
20240821,2856.58,0.4063
20240822,2848.77,0.4075
20240823,2854.37,0.4045
20240826,2855.52,0.406
20240827,2848.73,0.3962
20240828,2837.43,0.4
20240829,2823.11,0.4051
20240830,2842.21,0.4021
20240902,2811.04,0.3882
20240903,2802.98,0.3902
20240904,2784.28,0.3998
20240905,2788.31,0.3892
20240906,2765.81,0.3971
20240909,2736.49,0.4169
20240910,2744.19,0.3868
20240911,2721.8,0.4266
20240912,2717.12,0.4106
20240913,2704.09,0.4212
20240918,2717.28,0.3906
20240919,2736.02,0.3978
20240920,2736.81,0.4175
20240924,2863.13,0.4121
20240925,2896.31,0.3966
20240926,3000.95,0.4128
20240927,3087.53,0.4043
20240930,3336.5,0.3643
20241008,3489.78,0.3568
20241009,3258.86,0.4285
20241010,3301.93,0.4356
20241011,3217.74,0.4198
20241014,3284.32,0.4346
20241015,3201.29,0.4404
20241016,3202.95,0.4425
20241017,3169.38,0.4388
20241018,3261.56,0.4366
20241021,3268.11,0.4157
20241022,3285.87,0.4069
20241023,3302.8,0.4087
20241024,3280.26,0.4212
20241025,3299.7,0.3897
20241028,3322.2,0.3652
20241029,3286.41,0.3803
20241030,3266.24,0.3997
20241031,3279.82,0.4161
20241101,3272.01,0.4148
20241104,3310.21,0.4291
20241105,3386.99,0.4157
20241106,3383.81,0.4119
20241107,3470.66,0.411
20241108,3452.3,0.4018
20241111,3470.07,0.4018
20241112,3421.97,0.3945
20241113,3439.28,0.4128
20241114,3379.84,0.4049
20241115,3330.73,0.4146
20241118,3323.85,0.3925
20241119,3346.01,0.4078
20241120,3367.99,0.3818
20241121,3370.4,0.397
20241122,3267.19,0.3794
20241125,3263.76,0.3935
20241126,3259.76,0.3773
20241127,3309.78,0.3809
20241128,3295.7,0.3769
20241129,3326.46,0.3833
20241202,3363.98,0.357
20241203,3378.81,0.3635
20241204,3364.65,0.3741
20241205,3368.86,0.3716
20241206,3404.08,0.3705
20241209,3402.53,0.3567
20241210,3422.66,0.3636
20241211,3432.49,0.3546
20241212,3461.5,0.3412
20241213,3391.88,0.357
20241216,3386.33,0.3586
20241217,3361.49,0.3613
20241218,3382.21,0.3864
20241219,3370.03,0.3993
20241220,3368.07,0.3936
20241223,3351.26,0.3748
20241224,3393.53,0.3894
20241225,3393.35,0.3872
20241226,3398.08,0.4085
20241227,3400.14,0.4039
20241230,3407.33,0.396
20241231,3351.76,0.3895
